experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Senior,Full-time,155000,Poland,M,Data Science and Research
Senior,Full-time,210000,United States,M,Machine Learning and AI
Senior,Full-time,180000,United States,M,Machine Learning and AI
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,130000,United States,M,Data Science and Research
Senior,Full-time,87500,United Kingdom,M,Data Science and Research
Senior,Full-time,62500,United Kingdom,M,Data Science and Research
Senior,Full-time,220000,Canada,M,Data Engineering
Senior,Full-time,180000,Canada,M,Data Engineering
Senior,Full-time,278700,United States,M,Machine Learning and AI
Senior,Full-time,159300,United States,M,Machine Learning and AI
Senior,Full-time,145000,United States,M,Data Analysis
Senior,Full-time,110000,United States,M,Data Analysis
Entry-level,Full-time,57277,France,M,Data Science and Research
Senior,Full-time,66666,Germany,S,Data Analysis
Mid-level,Full-time,126000,United States,M,Leadership and Management
Mid-level,Full-time,78000,United States,M,Leadership and Management
Senior,Full-time,290000,United States,M,Data Science and Research
Senior,Full-time,240000,United States,M,Data Science and Research
Senior,Full-time,210000,United States,M,Machine Learning and AI
Senior,Full-time,178500,United States,M,Machine Learning and AI
Senior,Full-time,150000,Saudi Arabia,M,Data Science and Research
Executive,Full-time,290000,United States,M,Machine Learning and AI
Executive,Full-time,232000,United States,M,Machine Learning and AI
Senior,Full-time,234000,United States,M,Data Science and Research
Senior,Full-time,146000,United States,M,Data Science and Research
Mid-level,Full-time,172400,United States,M,Data Engineering
Mid-level,Full-time,109000,United States,M,Data Engineering
Entry-level,Full-time,88800,United States,M,Data Analysis
Entry-level,Full-time,64600,United States,M,Data Analysis
Mid-level,Full-time,156200,Canada,M,Machine Learning and AI
Mid-level,Full-time,106500,Canada,M,Machine Learning and AI
Senior,Full-time,185900,United States,M,Data Science and Research
Senior,Full-time,109400,United States,M,Data Science and Research
Entry-level,Full-time,106000,United States,M,Data Science and Research
Entry-level,Full-time,66000,United States,M,Data Science and Research
Senior,Full-time,234300,United States,M,Machine Learning and AI
Senior,Full-time,96900,United States,M,Machine Learning and AI
Entry-level,Full-time,157600,United States,M,Data Analysis
Entry-level,Full-time,96800,United States,M,Data Analysis
Senior,Full-time,339250,United States,M,Data Science and Research
Senior,Full-time,180000,United States,M,Data Science and Research
Entry-level,Full-time,40000,United States,M,Data Analysis
Entry-level,Full-time,70000,United States,M,Data Analysis
Entry-level,Full-time,50000,United States,M,Data Analysis
Senior,Full-time,94600,United States,M,Data Science and Research
Senior,Full-time,77400,United States,M,Data Science and Research
Entry-level,Full-time,192500,United States,M,Data Analysis
Entry-level,Full-time,140000,United States,M,Data Analysis
Mid-level,Full-time,154500,United States,M,Data Science and Research
Mid-level,Full-time,75705,United States,M,Data Science and Research
Entry-level,Full-time,95000,United States,M,BI and Visualization
Entry-level,Full-time,85000,United States,M,BI and Visualization
Mid-level,Full-time,164700,United States,M,BI and Visualization
Mid-level,Full-time,117500,United States,M,BI and Visualization
Entry-level,Full-time,80000,United States,M,Data Analysis
Entry-level,Full-time,45700,United States,M,Data Analysis
Senior,Full-time,117000,United States,M,Data Analysis
Senior,Full-time,115765,United States,M,Data Analysis
Senior,Full-time,140000,Canada,M,Data Analysis
Senior,Full-time,107000,Canada,M,Data Analysis
Senior,Full-time,178250,United States,M,Machine Learning and AI
Senior,Full-time,105500,United States,M,Machine Learning and AI
Senior,Full-time,62500,United Kingdom,M,Leadership and Management
Senior,Full-time,62500,United Kingdom,M,Leadership and Management
Senior,Full-time,197011,United States,M,Machine Learning and AI
Senior,Full-time,115889,United States,M,Machine Learning and AI
Mid-level,Full-time,138000,United States,M,Data Science and Research
Mid-level,Full-time,86000,United States,M,Data Science and Research
Senior,Full-time,259700,United States,M,Data Engineering
Senior,Full-time,185500,United States,M,Data Engineering
Entry-level,Full-time,80000,United States,M,Data Analysis
Entry-level,Full-time,80000,United States,M,Data Analysis
Executive,Full-time,175000,United States,M,Data Analysis
Executive,Full-time,68000,United States,M,Data Analysis
Mid-level,Full-time,243500,United States,M,Data Science and Research
Mid-level,Full-time,201400,United States,M,Data Science and Research
Entry-level,Full-time,33500,United Kingdom,M,Data Analysis
Entry-level,Full-time,33500,United Kingdom,M,Data Analysis
Mid-level,Full-time,110000,United States,M,Data Analysis
Mid-level,Full-time,90000,United States,M,Data Analysis
Senior,Full-time,123765,United States,M,Data Science and Research
Senior,Full-time,85469,United States,M,Data Science and Research
Mid-level,Full-time,85000,United States,M,Data Analysis
Mid-level,Full-time,61800,United States,M,Data Analysis
Mid-level,Full-time,242100,United States,M,Data Engineering
Mid-level,Full-time,116200,United States,M,Data Engineering
Mid-level,Full-time,128000,United States,M,Leadership and Management
Mid-level,Full-time,81500,United States,M,Leadership and Management
Senior,Full-time,250000,United States,M,Machine Learning and AI
Senior,Full-time,212500,United States,M,Machine Learning and AI
Senior,Full-time,100000,France,M,Data Science and Research
Senior,Full-time,55555,France,M,Data Science and Research
Mid-level,Full-time,69000,United States,M,Data Management and Strategy
Mid-level,Full-time,44000,United States,M,Data Management and Strategy
Mid-level,Full-time,77280,United States,M,Data Analysis
Mid-level,Full-time,58000,United States,M,Data Analysis
Entry-level,Full-time,166000,United States,M,BI and Visualization
Entry-level,Full-time,119000,United States,M,BI and Visualization
Senior,Full-time,192000,United States,M,Machine Learning and AI
Senior,Full-time,164000,United States,M,Machine Learning and AI
Mid-level,Full-time,218213,United States,M,Data Science and Research
Mid-level,Full-time,151800,United States,M,Data Science and Research
Senior,Full-time,149750,United States,M,Data Architecture and Modeling
