experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Senior,Full-time,363000,United States,M,Data Architecture and Modeling
Senior,Full-time,139800,United States,M,Data Architecture and Modeling
Mid-level,Full-time,109000,United States,M,Data Science and Research
Mid-level,Full-time,93000,United States,M,Data Science and Research
Mid-level,Full-time,38888,Portugal,M,Data Science and Research
Mid-level,Full-time,28888,Portugal,M,Data Science and Research
Senior,Full-time,248600,United States,M,Data Science and Research
Senior,Full-time,149200,United States,M,Data Science and Research
Senior,Full-time,175000,United States,M,BI and Visualization
Senior,Full-time,150000,United States,M,BI and Visualization
Senior,Full-time,179000,United States,M,Data Architecture and Modeling
Senior,Full-time,112000,United States,M,Data Architecture and Modeling
Entry-level,Full-time,87999,United States,M,Data Analysis
Entry-level,Full-time,66560,United States,M,Data Analysis
Senior,Full-time,108500,United States,M,BI and Visualization
Senior,Full-time,78800,United States,M,BI and Visualization
Mid-level,Full-time,90000,United States,M,Machine Learning and AI
Mid-level,Full-time,70000,United States,M,Machine Learning and AI
Senior,Full-time,165000,United States,M,Machine Learning and AI
Senior,Full-time,150000,United States,M,Machine Learning and AI
Senior,Full-time,179000,United States,M,Data Engineering
Senior,Full-time,112000,United States,M,Data Engineering
Senior,Full-time,131200,United States,M,Leadership and Management
Senior,Full-time,95300,United States,M,Leadership and Management
Senior,Full-time,144300,United States,M,BI and Visualization
Senior,Full-time,104800,United States,M,BI and Visualization
Senior,Full-time,178250,United States,M,Machine Learning and AI
Senior,Full-time,105500,United States,M,Machine Learning and AI
Senior,Full-time,248600,United States,M,Data Science and Research
Senior,Full-time,149200,United States,M,Data Science and Research
Senior,Full-time,219600,United States,M,Leadership and Management
Senior,Full-time,125500,United States,M,Leadership and Management
Senior,Full-time,258500,United States,M,Data Engineering
Senior,Full-time,191857,United States,M,Data Engineering
Mid-level,Full-time,51381,United States,M,Data Engineering
Mid-level,Full-time,43675,United States,M,Data Engineering
Senior,Full-time,212000,United States,M,Machine Learning and AI
Senior,Full-time,93300,United States,M,Machine Learning and AI
Mid-level,Full-time,194000,United States,M,Data Engineering
Mid-level,Full-time,96000,United States,M,Data Engineering
Senior,Full-time,250000,United States,M,Data Architecture and Modeling
Senior,Full-time,140000,United States,M,Data Architecture and Modeling
Entry-level,Full-time,60000,Lithuania,M,Data Engineering
Entry-level,Full-time,50666,Lithuania,M,Data Engineering
Entry-level,Full-time,175100,United States,M,Data Science and Research
Entry-level,Full-time,82915,United States,M,Data Science and Research
Entry-level,Full-time,162240,United States,M,Data Science and Research
Entry-level,Full-time,47840,United States,M,Data Science and Research
Mid-level,Full-time,243800,United States,M,Data Science and Research
Mid-level,Full-time,123800,United States,M,Data Science and Research
Senior,Full-time,237600,United States,M,Data Engineering
Senior,Full-time,168600,United States,M,Data Engineering
Mid-level,Full-time,155000,United States,M,BI and Visualization
Mid-level,Full-time,124000,United States,M,BI and Visualization
Senior,Full-time,242000,Canada,M,Machine Learning and AI
Senior,Full-time,215000,Canada,M,Machine Learning and AI
Senior,Full-time,229369,United States,M,Machine Learning and AI
Senior,Full-time,146900,United States,M,Machine Learning and AI
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,152000,United States,M,Data Science and Research
Senior,Full-time,260000,United States,L,Data Science and Research
Senior,Full-time,136000,United States,L,Data Science and Research
Executive,Full-time,180000,United States,M,Data Science and Research
Executive,Full-time,125000,United States,M,Data Science and Research
Mid-level,Full-time,147000,United States,M,Data Analysis
Mid-level,Full-time,118000,United States,M,Data Analysis
Senior,Full-time,247500,United States,M,Data Engineering
Senior,Full-time,172200,United States,M,Data Engineering
Entry-level,Full-time,101000,United States,M,Data Analysis
Entry-level,Full-time,85000,United States,M,Data Analysis
Mid-level,Full-time,154000,United States,M,Data Analysis
Mid-level,Full-time,105000,United States,M,Data Analysis
Senior,Full-time,206500,United States,M,Data Quality and Operations
Senior,Full-time,121500,United States,M,Data Quality and Operations
Mid-level,Full-time,72500,United States,M,Data Analysis
Mid-level,Full-time,61000,United States,M,Data Analysis
Senior,Full-time,100000,United Kingdom,M,Data Science and Research
Senior,Full-time,87500,United Kingdom,M,Data Science and Research
Senior,Full-time,288400,United States,M,Data Science and Research
Senior,Full-time,144200,United States,M,Data Science and Research
Mid-level,Full-time,440000,United States,M,Machine Learning and AI
Entry-level,Full-time,171600,United States,M,Machine Learning and AI
Entry-level,Full-time,99500,United States,M,Machine Learning and AI
Senior,Full-time,175000,United States,M,Data Analysis
Senior,Full-time,150000,United States,M,Data Analysis
Senior,Full-time,199700,United States,M,Data Engineering
Senior,Full-time,165100,United States,M,Data Engineering
Entry-level,Full-time,85900,Mexico,M,Data Analysis
Mid-level,Full-time,222200,United States,L,Data Science and Research
Mid-level,Full-time,136000,United States,L,Data Science and Research
Senior,Full-time,313000,United States,M,Data Engineering
Senior,Full-time,135000,United States,M,Data Engineering
Senior,Full-time,153018,United States,M,Leadership and Management
Senior,Full-time,135000,United States,M,Leadership and Management
Mid-level,Full-time,170000,United States,M,Leadership and Management
Senior,Full-time,321000,United States,M,Data Science and Research
Senior,Full-time,214000,United States,M,Data Science and Research
Senior,Full-time,118750,United Kingdom,M,Data Engineering
Senior,Full-time,63437,United Kingdom,M,Data Engineering
Entry-level,Full-time,120000,United States,M,Data Analysis
Entry-level,Full-time,111510,United States,M,Data Analysis
Senior,Full-time,141375,United States,M,Data Analysis
Senior,Full-time,111500,United States,M,Data Analysis
Mid-level,Full-time,30000,Bosnia and Herzegovina,S,Machine Learning and AI
Mid-level,Full-time,75000,United States,M,Data Analysis
Senior,Full-time,250000,United States,M,Machine Learning and AI
Senior,Full-time,125000,United States,M,Machine Learning and AI
Entry-level,Full-time,83300,United States,M,Data Analysis
Entry-level,Full-time,47500,United States,M,Data Analysis
Entry-level,Full-time,154818,United States,M,Data Analysis
Entry-level,Full-time,96761,United States,M,Data Analysis
Senior,Full-time,150000,United Kingdom,M,Data Architecture and Modeling
Senior,Full-time,112500,United Kingdom,M,Data Architecture and Modeling
Senior,Full-time,345400,United States,M,Machine Learning and AI
Senior,Full-time,223700,United States,M,Machine Learning and AI
Senior,Full-time,96600,United States,M,Leadership and Management
Senior,Full-time,55200,United States,M,Leadership and Management
Senior,Full-time,128000,United States,M,Data Engineering
Senior,Full-time,81500,United States,M,Data Engineering
Senior,Full-time,218185,United States,M,Data Engineering
Senior,Full-time,158680,United States,M,Data Engineering
Senior,Full-time,135000,United States,M,Data Analysis
Senior,Full-time,100000,United States,M,Data Analysis
Mid-level,Full-time,185000,United States,L,BI and Visualization
Mid-level,Full-time,79600,United States,L,BI and Visualization
Senior,Full-time,235700,United States,M,Data Science and Research
Senior,Full-time,124400,United States,M,Data Science and Research
Mid-level,Full-time,222200,United States,L,Data Science and Research
Mid-level,Full-time,136000,United States,L,Data Science and Research
Senior,Full-time,225000,United States,M,Machine Learning and AI
Senior,Full-time,150000,United States,M,Machine Learning and AI
Mid-level,Full-time,180000,United States,M,Data Engineering
Mid-level,Full-time,130000,United States,M,Data Engineering
Executive,Full-time,286500,United States,M,Data Science and Research
Executive,Full-time,204000,United States,M,Data Science and Research
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,139000,United States,M,Data Science and Research
Mid-level,Full-time,100000,United States,M,Leadership and Management
Mid-level,Full-time,95000,United States,M,Leadership and Management
Senior,Full-time,60000,Brazil,M,Machine Learning and AI
Senior,Full-time,54000,Brazil,M,Machine Learning and AI
Senior,Full-time,385000,United States,M,Machine Learning and AI
Senior,Full-time,310000,United States,M,Machine Learning and AI
Senior,Full-time,207000,United States,M,Machine Learning and AI
Senior,Full-time,149800,United States,M,Machine Learning and AI
Executive,Full-time,300000,United States,M,Data Science and Research
Executive,Full-time,220000,United States,M,Data Science and Research
Senior,Full-time,202800,United States,M,Data Science and Research
Senior,Full-time,115000,United States,M,Data Science and Research
Mid-level,Full-time,140400,United States,M,Data Science and Research
Mid-level,Full-time,90000,United States,M,Data Science and Research
Senior,Full-time,175000,United States,M,Machine Learning and AI
Senior,Full-time,150000,United States,M,Machine Learning and AI
Mid-level,Full-time,168000,United States,M,BI and Visualization
Mid-level,Full-time,158000,United States,M,BI and Visualization
Senior,Full-time,165000,United States,M,Data Architecture and Modeling
Senior,Full-time,123000,United States,M,Data Architecture and Modeling
Senior,Full-time,92000,Argentina,M,Machine Learning and AI
Senior,Full-time,85000,Argentina,M,Machine Learning and AI
Mid-level,Full-time,170200,United States,M,Data Science and Research
Mid-level,Full-time,83900,United States,M,Data Science and Research
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,139000,United States,M,Data Science and Research
Mid-level,Full-time,130000,United States,M,Data Engineering
Mid-level,Full-time,90000,United States,M,Data Engineering
Senior,Full-time,210000,United States,M,Machine Learning and AI
Senior,Full-time,190000,United States,M,Machine Learning and AI
Executive,Full-time,150000,United States,L,Data Engineering
Senior,Full-time,200000,United States,M,Data Architecture and Modeling
Senior,Full-time,115000,United States,M,Data Architecture and Modeling
Senior,Full-time,174500,United States,M,Data Science and Research
Senior,Full-time,126800,United States,M,Data Science and Research
Mid-level,Full-time,114000,Canada,M,Data Architecture and Modeling
Mid-level,Full-time,69000,Canada,M,Data Architecture and Modeling
Senior,Full-time,277000,United States,M,Machine Learning and AI
Senior,Full-time,173000,United States,M,Machine Learning and AI
Mid-level,Full-time,179000,United States,M,Data Engineering
Mid-level,Full-time,112000,United States,M,Data Engineering
Entry-level,Full-time,130000,United States,M,Data Analysis
Entry-level,Full-time,115000,United States,M,Data Analysis
Senior,Full-time,200070,Canada,M,Machine Learning and AI
Senior,Full-time,107730,Canada,M,Machine Learning and AI
Senior,Full-time,81250,United States,M,Data Science and Research
Senior,Full-time,70000,United States,M,Data Science and Research
Mid-level,Full-time,240000,United States,M,Machine Learning and AI
Mid-level,Full-time,130000,United States,M,Machine Learning and AI
Senior,Full-time,230000,United States,M,Data Engineering
Senior,Full-time,165000,United States,M,Data Engineering
Senior,Full-time,180000,United States,M,Machine Learning and AI
Senior,Full-time,125000,United States,M,Machine Learning and AI
Mid-level,Full-time,165000,United States,M,Data Science and Research
Mid-level,Full-time,132000,United States,M,Data Science and Research
Senior,Full-time,282000,United States,M,Machine Learning and AI
Senior,Full-time,188000,United States,M,Machine Learning and AI
Senior,Full-time,287500,United States,M,Leadership and Management
Senior,Full-time,156000,United States,M,Leadership and Management
Senior,Full-time,175000,United States,M,Data Science and Research
Senior,Full-time,150000,United States,M,Data Science and Research
Mid-level,Full-time,125000,United States,M,Data Engineering
Mid-level,Full-time,89000,United States,M,Data Engineering
Entry-level,Full-time,198000,United States,M,Data Science and Research
Entry-level,Full-time,132000,United States,M,Data Science and Research
Mid-level,Full-time,158100,United States,M,Data Science and Research
Mid-level,Full-time,138500,United States,M,Data Science and Research
Mid-level,Full-time,220000,United States,M,Data Science and Research
Mid-level,Full-time,150000,United States,M,Data Science and Research
Mid-level,Full-time,179700,United States,M,Machine Learning and AI
Mid-level,Full-time,85700,United States,M,Machine Learning and AI
Mid-level,Full-time,220000,United States,M,Machine Learning and AI
Mid-level,Full-time,137500,United States,M,Machine Learning and AI
Executive,Full-time,150000,United States,M,BI and Visualization
Executive,Full-time,120000,United States,M,BI and Visualization
Mid-level,Full-time,42666,Latvia,M,Data Analysis
Mid-level,Full-time,36000,Latvia,M,Data Analysis
Senior,Full-time,144300,United States,M,Data Science and Research
Senior,Full-time,104800,United States,M,Data Science and Research
Executive,Full-time,250000,United States,M,Leadership and Management
Executive,Full-time,215000,United States,M,Leadership and Management
Entry-level,Full-time,150000,United States,M,Data Analysis
Entry-level,Full-time,110000,United States,M,Data Analysis
Mid-level,Full-time,110000,United States,M,Data Science and Research
Mid-level,Full-time,90000,United States,M,Data Science and Research
Mid-level,Full-time,200000,United States,M,Machine Learning and AI
Mid-level,Full-time,140000,United States,M,Machine Learning and AI
Senior,Full-time,196350,United States,M,Machine Learning and AI
Senior,Full-time,127500,United States,M,Machine Learning and AI
Senior,Full-time,219600,United States,M,Leadership and Management
Senior,Full-time,125500,United States,M,Leadership and Management
Mid-level,Full-time,212000,United States,M,Machine Learning and AI
Mid-level,Full-time,93300,United States,M,Machine Learning and AI
Mid-level,Full-time,140900,United States,M,Data Engineering
Mid-level,Full-time,104100,United States,M,Data Engineering
Senior,Full-time,193000,United States,M,Data Science and Research
Senior,Full-time,147645,United States,M,Data Science and Research
Mid-level,Full-time,207000,United States,M,Data Science and Research
Mid-level,Full-time,150000,United States,M,Data Science and Research
Senior,Full-time,150000,United States,M,Data Engineering
Senior,Full-time,120000,United States,M,Data Engineering
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,148000,United States,M,Data Science and Research
Mid-level,Full-time,160000,United States,M,Data Science and Research
Mid-level,Full-time,120000,United States,M,Data Science and Research
Executive,Full-time,204500,United States,M,Data Engineering
Executive,Full-time,130000,United States,M,Data Engineering
Mid-level,Full-time,207000,United States,M,Machine Learning and AI
Mid-level,Full-time,138000,United States,M,Machine Learning and AI
Senior,Full-time,173000,United States,M,Data Engineering
Senior,Full-time,138400,United States,M,Data Engineering
Senior,Full-time,278700,United States,M,Data Science and Research
Senior,Full-time,159300,United States,M,Data Science and Research
Senior,Full-time,215000,United States,M,Machine Learning and AI
Senior,Full-time,146900,United States,M,Machine Learning and AI
Senior,Full-time,115000,United States,M,BI and Visualization
Senior,Full-time,100000,United States,M,BI and Visualization
Senior,Full-time,106260,United States,M,Data Analysis
Senior,Full-time,82000,United States,M,Data Analysis
Senior,Full-time,220000,United States,M,Data Engineering
Senior,Full-time,190000,United States,M,Data Engineering
Mid-level,Full-time,150000,United States,M,Data Analysis
Mid-level,Full-time,110000,United States,M,Data Analysis
Mid-level,Full-time,145000,United States,M,Machine Learning and AI
Mid-level,Full-time,95000,United States,M,Machine Learning and AI
Mid-level,Full-time,92000,United States,M,Data Analysis
Mid-level,Full-time,68000,United States,M,Data Analysis
Senior,Full-time,300000,United Kingdom,M,Data Science and Research
Senior,Full-time,150000,United Kingdom,M,Data Science and Research
Senior,Full-time,188000,United States,M,Data Engineering
Senior,Full-time,114000,United States,M,Data Engineering
Mid-level,Full-time,135000,United States,M,Data Science and Research
Mid-level,Full-time,115000,United States,M,Data Science and Research
Entry-level,Full-time,154800,United States,M,Data Science and Research
Entry-level,Full-time,76300,United States,M,Data Science and Research
Mid-level,Full-time,400000,United States,M,Machine Learning and AI
Mid-level,Full-time,65000,United States,M,Machine Learning and AI
Senior,Full-time,187000,United States,M,Data Science and Research
Senior,Full-time,153000,United States,M,Data Science and Research
Mid-level,Full-time,150000,United States,M,Data Science and Research
Mid-level,Full-time,128000,United States,M,Data Science and Research
Senior,Full-time,195000,United States,M,Machine Learning and AI
Senior,Full-time,140000,United States,M,Machine Learning and AI
Mid-level,Full-time,150000,United States,M,Data Engineering
Mid-level,Full-time,130000,United States,M,Data Engineering
Mid-level,Full-time,166000,United States,M,Data Science and Research
Mid-level,Full-time,73100,United States,M,Data Science and Research
Entry-level,Full-time,200000,United States,M,Data Science and Research
Entry-level,Full-time,150000,United States,M,Data Science and Research
Senior,Full-time,220000,United States,M,Machine Learning and AI
Senior,Full-time,137500,United States,M,Machine Learning and AI
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,130000,United States,M,Data Science and Research
Senior,Full-time,138000,United States,M,BI and Visualization
Senior,Full-time,86000,United States,M,BI and Visualization
Mid-level,Full-time,105000,United States,M,BI and Visualization
Mid-level,Full-time,80000,United States,M,BI and Visualization
Mid-level,Full-time,96250,United States,M,Leadership and Management
Mid-level,Full-time,75000,United States,M,Leadership and Management
Senior,Full-time,197500,United States,M,Machine Learning and AI
Senior,Full-time,132500,United States,M,Machine Learning and AI
Entry-level,Full-time,90000,United States,M,Data Science and Research
Entry-level,Full-time,80000,United States,M,Data Science and Research
Mid-level,Full-time,210000,United States,M,Data Science and Research
Mid-level,Full-time,151800,United States,M,Data Science and Research
Senior,Full-time,210000,United States,M,Data Science and Research
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,175000,United States,M,Data Science and Research
Senior,Full-time,150000,United States,M,Data Science and Research
Senior,Full-time,219100,United States,M,Machine Learning and AI
Senior,Full-time,118500,United States,M,Machine Learning and AI
Senior,Full-time,175000,United States,M,BI and Visualization
Senior,Full-time,150000,United States,M,BI and Visualization
Mid-level,Full-time,81530,Canada,M,Data Management and Strategy
Mid-level,Full-time,69300,Canada,M,Data Management and Strategy
Senior,Full-time,164000,United States,M,Data Architecture and Modeling
Senior,Full-time,117000,United States,M,Data Architecture and Modeling
Senior,Full-time,145000,United States,M,Data Analysis
Senior,Full-time,110000,United States,M,Data Analysis
Senior,Full-time,125000,United States,M,Data Science and Research
Senior,Full-time,106000,United States,M,Data Science and Research
Entry-level,Full-time,75065,United States,M,Data Analysis
Entry-level,Full-time,41419,United States,M,Data Analysis
Senior,Full-time,140000,United States,M,Data Analysis
Senior,Full-time,100000,United States,M,Data Analysis
Mid-level,Full-time,80000,United States,M,Data Analysis
Mid-level,Full-time,70000,United States,M,Data Analysis
Executive,Full-time,238500,United States,M,Machine Learning and AI
Executive,Full-time,183400,United States,M,Machine Learning and AI
Mid-level,Full-time,105000,United States,M,Data Science and Research
Mid-level,Full-time,70000,United States,M,Data Science and Research
Senior,Full-time,225000,United States,M,Machine Learning and AI
Senior,Full-time,162000,United States,M,Machine Learning and AI
Senior,Full-time,278700,United States,M,Data Science and Research
Senior,Full-time,159300,United States,M,Data Science and Research
Mid-level,Full-time,180000,United States,M,Data Engineering
Mid-level,Full-time,120000,United States,M,Data Engineering
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,160000,United States,M,Data Science and Research
Entry-level,Full-time,72000,United States,M,Data Quality and Operations
Entry-level,Full-time,51375,United States,M,Data Quality and Operations
Senior,Full-time,260000,United States,L,Data Science and Research
Senior,Full-time,136000,United States,L,Data Science and Research
Mid-level,Full-time,75000,United States,M,Data Engineering
Mid-level,Full-time,60000,United States,M,Data Engineering
Mid-level,Full-time,135000,United States,M,Data Engineering
Mid-level,Full-time,113000,United States,M,Data Engineering
Senior,Full-time,150000,United States,M,Data Engineering
Senior,Full-time,130000,United States,M,Data Engineering
Mid-level,Full-time,267100,United States,M,Data Science and Research
Mid-level,Full-time,188500,United States,M,Data Science and Research
Senior,Full-time,207000,United States,M,Data Science and Research
Senior,Full-time,149800,United States,M,Data Science and Research
Senior,Full-time,155000,Canada,M,Data Analysis
Senior,Full-time,105000,Canada,M,Data Analysis
Mid-level,Full-time,270250,United States,M,Data Engineering
Mid-level,Full-time,176000,United States,M,Data Engineering
Senior,Full-time,189000,United States,M,Machine Learning and AI
Senior,Full-time,145400,United States,M,Machine Learning and AI
Mid-level,Full-time,133903,United States,M,Machine Learning and AI
Mid-level,Full-time,96411,United States,M,Machine Learning and AI
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,160000,United States,M,Data Science and Research
Senior,Full-time,172800,United States,M,BI and Visualization
Senior,Full-time,132900,United States,M,BI and Visualization
Mid-level,Full-time,165000,United States,M,Data Science and Research
Mid-level,Full-time,150000,United States,M,Data Science and Research
Senior,Full-time,145000,United States,M,Data Science and Research
Senior,Full-time,116000,United States,M,Data Science and Research
Mid-level,Full-time,98000,United States,M,Data Analysis
Mid-level,Full-time,88000,United States,M,Data Analysis
Mid-level,Full-time,150000,United States,M,Data Analysis
Mid-level,Full-time,130000,United States,M,Data Analysis
Senior,Full-time,174000,United States,M,Data Analysis
Senior,Full-time,116000,United States,M,Data Analysis
Senior,Full-time,188000,United States,M,Data Engineering
Senior,Full-time,144600,United States,M,Data Engineering
Senior,Full-time,149500,United States,M,Leadership and Management
Senior,Full-time,140000,United States,M,Leadership and Management
Entry-level,Full-time,100000,United States,M,BI and Visualization
Entry-level,Full-time,90000,United States,M,BI and Visualization
Senior,Full-time,115000,United States,M,BI and Visualization
Senior,Full-time,85000,United States,M,BI and Visualization
Entry-level,Full-time,80000,United States,M,Data Management and Strategy
Entry-level,Full-time,72000,United States,M,Data Management and Strategy
Entry-level,Full-time,85000,United States,M,Data Analysis
Entry-level,Full-time,76500,United States,M,Data Analysis
Senior,Full-time,187165,Canada,M,Data Science and Research
Senior,Full-time,150500,Canada,M,Data Science and Research
Senior,Full-time,134500,United States,M,Data Analysis
Senior,Full-time,100000,United States,M,Data Analysis
Senior,Full-time,274000,United States,M,Machine Learning and AI
Senior,Full-time,245000,United States,M,Machine Learning and AI
Mid-level,Full-time,263000,United States,M,BI and Visualization
Mid-level,Full-time,207000,United States,M,BI and Visualization
Senior,Full-time,149076,United States,M,Data Engineering
Senior,Full-time,82365,United States,M,Data Engineering
Entry-level,Full-time,90000,United States,M,Data Analysis
Entry-level,Full-time,80000,United States,M,Data Analysis
Executive,Full-time,314000,Canada,M,Data Engineering
Executive,Full-time,201000,Canada,M,Data Engineering
Senior,Full-time,200400,United States,M,Leadership and Management
Senior,Full-time,154100,United States,M,Leadership and Management
Senior,Full-time,165000,Australia,M,Data Analysis
Senior,Full-time,142500,Australia,M,Data Analysis
Mid-level,Full-time,33333,France,M,Machine Learning and AI
Senior,Full-time,310000,United States,M,Data Science and Research
Senior,Full-time,270000,United States,M,Data Science and Research
Mid-level,Full-time,115000,United States,M,Data Engineering
Mid-level,Full-time,80000,United States,M,Data Engineering
Senior,Full-time,144900,United States,M,Data Engineering
Senior,Full-time,110000,United States,M,Data Engineering
Entry-level,Full-time,84068,United States,M,Data Science and Research
Entry-level,Full-time,49452,United States,M,Data Science and Research
Senior,Full-time,188500,United States,M,Machine Learning and AI
Senior,Full-time,165100,United States,M,Machine Learning and AI
Senior,Full-time,75000,United Kingdom,M,Data Engineering
Senior,Full-time,62500,United Kingdom,M,Data Engineering
Mid-level,Full-time,132500,United States,M,Data Quality and Operations
Mid-level,Full-time,88000,United States,M,Data Quality and Operations
Mid-level,Full-time,179900,United States,M,Data Engineering
Mid-level,Full-time,142002,United States,M,Data Engineering
Senior,Full-time,287500,United States,M,Machine Learning and AI
Senior,Full-time,168000,United States,M,Machine Learning and AI
Senior,Full-time,220000,United States,M,Data Engineering
Senior,Full-time,137500,United States,M,Data Engineering
Senior,Full-time,96600,United States,M,Data Analysis
Senior,Full-time,55200,United States,M,Data Analysis
Senior,Full-time,194500,United States,M,Data Engineering
Senior,Full-time,146266,United States,M,Data Engineering
Senior,Full-time,194500,United States,M,Data Engineering
Senior,Full-time,146266,United States,M,Data Engineering
Mid-level,Full-time,146100,United States,M,Data Engineering
Mid-level,Full-time,111800,United States,M,Data Engineering
Mid-level,Full-time,145580,United States,M,Data Science and Research
Mid-level,Full-time,97060,United States,M,Data Science and Research
Senior,Full-time,108500,United States,M,BI and Visualization
Senior,Full-time,78800,United States,M,BI and Visualization
Entry-level,Full-time,95000,United States,M,Data Quality and Operations
Entry-level,Full-time,76000,United States,M,Data Quality and Operations
Mid-level,Full-time,97000,United States,M,Data Engineering
Mid-level,Full-time,62000,United States,M,Data Engineering
Senior,Full-time,234000,United States,M,Data Architecture and Modeling
Senior,Full-time,146000,United States,M,Data Architecture and Modeling
Mid-level,Full-time,177100,United States,M,Machine Learning and AI
Mid-level,Full-time,130900,United States,M,Machine Learning and AI
Mid-level,Full-time,106050,United States,M,BI and Visualization
Mid-level,Full-time,80420,United States,M,BI and Visualization
Senior,Full-time,277000,United States,M,Data Engineering
Senior,Full-time,173000,United States,M,Data Engineering
Mid-level,Full-time,42222,Spain,L,Data Analysis
Mid-level,Full-time,166000,Egypt,M,Data Science and Research
Mid-level,Full-time,73100,Egypt,M,Data Science and Research
Mid-level,Full-time,220000,United States,M,Data Science and Research
Mid-level,Full-time,137500,United States,M,Data Science and Research
Mid-level,Full-time,133000,United States,M,Data Engineering
Mid-level,Full-time,58400,United States,M,Data Engineering
Mid-level,Full-time,80000,United States,M,Leadership and Management
Mid-level,Full-time,75000,United States,M,Leadership and Management
Senior,Full-time,140000,United States,M,Data Science and Research
Senior,Full-time,125000,United States,M,Data Science and Research
Entry-level,Full-time,65000,United States,M,Data Analysis
Entry-level,Full-time,55000,United States,M,Data Analysis
Mid-level,Full-time,105000,United States,M,Data Analysis
Mid-level,Full-time,78000,United States,M,Data Analysis
Executive,Full-time,200070,Canada,M,Machine Learning and AI
Executive,Full-time,107730,Canada,M,Machine Learning and AI
Senior,Full-time,179000,United States,M,BI and Visualization
Senior,Full-time,112000,United States,M,BI and Visualization
Mid-level,Full-time,166363,United States,M,Data Engineering
Mid-level,Full-time,103977,United States,M,Data Engineering
Mid-level,Full-time,130000,United States,M,Data Science and Research
Mid-level,Full-time,95000,United States,M,Data Science and Research
Senior,Full-time,214300,United States,M,Data Engineering
Senior,Full-time,108500,United States,M,Data Engineering
Senior,Full-time,266482,United States,M,Data Science and Research
Senior,Full-time,166551,United States,M,Data Science and Research
Mid-level,Full-time,90279,United States,M,BI and Visualization
Mid-level,Full-time,67060,United States,M,BI and Visualization
Senior,Full-time,190000,United States,M,Machine Learning and AI
Senior,Full-time,160000,United States,M,Machine Learning and AI
Mid-level,Full-time,212800,United States,L,Data Science and Research
Mid-level,Full-time,111600,United States,L,Data Science and Research
Senior,Full-time,130000,United States,M,Data Architecture and Modeling
Senior,Full-time,110000,United States,M,Data Architecture and Modeling
Senior,Full-time,190100,United States,M,Data Engineering
Senior,Full-time,131414,United States,M,Data Engineering
Senior,Full-time,284400,United States,M,Machine Learning and AI
Senior,Full-time,150700,United States,M,Machine Learning and AI
Senior,Full-time,128076,Canada,M,Data Architecture and Modeling
Senior,Full-time,103846,Canada,M,Data Architecture and Modeling
Mid-level,Full-time,145000,United States,M,Leadership and Management
Mid-level,Full-time,104000,United States,M,Leadership and Management
Senior,Full-time,165000,United States,M,Data Engineering
Senior,Full-time,132000,United States,M,Data Engineering
Senior,Full-time,234000,United States,M,Data Engineering
Senior,Full-time,117000,United States,M,Data Engineering
Mid-level,Full-time,215500,United States,M,Data Engineering
Mid-level,Full-time,121800,United States,M,Data Engineering
Mid-level,Full-time,165000,United States,M,Data Engineering
Mid-level,Full-time,140250,United States,M,Data Engineering
Mid-level,Full-time,164850,United States,M,Leadership and Management
Mid-level,Full-time,112000,United States,M,Leadership and Management
Senior,Full-time,295000,United States,M,Data Engineering
Senior,Full-time,235000,United States,M,Data Engineering
Mid-level,Full-time,150000,United States,M,BI and Visualization
Mid-level,Full-time,100000,United States,M,BI and Visualization
Mid-level,Full-time,93750,United Kingdom,M,Data Management and Strategy
Mid-level,Full-time,68750,United Kingdom,M,Data Management and Strategy
Entry-level,Full-time,120000,United States,M,Data Analysis
Entry-level,Full-time,97500,United States,M,Data Analysis
Senior,Full-time,220000,United States,M,Machine Learning and AI
Senior,Full-time,183000,United States,M,Machine Learning and AI
Mid-level,Full-time,205600,United States,L,Data Engineering
Mid-level,Full-time,105700,United States,L,Data Engineering
Senior,Full-time,240500,United States,L,Data Engineering
Senior,Full-time,123700,United States,L,Data Engineering
Senior,Full-time,179900,United States,M,Data Engineering
Senior,Full-time,135920,United States,M,Data Engineering
Mid-level,Full-time,83300,United States,M,Leadership and Management
Mid-level,Full-time,47500,United States,M,Leadership and Management
Senior,Full-time,96600,United States,M,Leadership and Management
Senior,Full-time,55200,United States,M,Leadership and Management
Entry-level,Full-time,86900,United States,M,Data Science and Research
Entry-level,Full-time,60800,United States,M,Data Science and Research
Senior,Full-time,140000,United States,M,Machine Learning and AI
Senior,Full-time,90000,United States,M,Machine Learning and AI
Senior,Full-time,234000,United States,M,Data Science and Research
Senior,Full-time,146000,United States,M,Data Science and Research
Senior,Full-time,120000,Canada,M,Data Analysis
Senior,Full-time,90000,Canada,M,Data Analysis
Senior,Full-time,193000,United States,M,BI and Visualization
Senior,Full-time,119000,United States,M,BI and Visualization
